Tanggal|KODE EFEK|Nama Saham|Haircut|Keterangan|Status
20260630|BBLD|BUANA FINANCE Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BBMD|BANK MESTIKA DHARMA Tbk|85|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BBNI|BANK NEGARA INDONESIA Tbk|5|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BBRI|BANK RAKYAT INDONESIA (PERSERO) Tbk|5|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BBRM|PELAYARAN NASIONAL BINA BUANA RAYA Tbk|55|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BBSS|BUMI BENOWO SUKSES SEJAHTERA Tbk|85|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BBTN|BANK TABUNGAN NEGARA (PERSERO) Tbk|20|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BBYB|BANK NEO COMMERCE Tbk|50|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BCAP|MNC KAPITAL INDONESIA Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BCIC|BANK JTRUST INDONESIA Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BCIP|BUMI CITRA PERMAI Tbk|45|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BDMN|BANK DANAMON INDONESIA Tbk|35|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BEEF|ESTIKA TATA TIARA Tbk|85|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BEKS|BANK PEMBANGUNAN DAERAH BANTEN Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BELL|TRISULA TEXTILE INDUSTRIES Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BESS|BATULICIN NUSANTARA MARITIM Tbk|95|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BEST|BEKASI FAJAR INDUSTRIAL ESTATE Tbk|15|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|BFIN|BFI FINANCE INDONESIA Tbk|20|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
